axis,run_id,final_diag_ema_top1,normalized_compute_cost,normalized_system_cost,dominated_point_retained
S,FULL,86.5,1.0,1.0,True
S,S075,87.0,1.3029807457738798,1.2872630366696072,True
S,S050,85.5,1.3374843322155834,1.3245758471744404,True
S,S025,87.0,1.3109955876293262,1.2956683826333264,True
T,FULL,86.5,1.0,1.0,True
T,T085,86.66666666666667,1.045270496134409,1.046157739562813,True
T,T070,87.5,1.0239070608593681,1.0291734607527419,True
T,T055,86.16666666666667,1.0341377856696177,1.0344747221126043,True
T,T040,85.5,1.0131013973584975,1.0136039990123302,True
P,FULL,86.5,1.0,1.0,True
P,P050,86.83333333333333,2.0369394864650774,1.9863564150897883,True
P,P020,88.0,1.9304034133043142,1.8834423649123093,True
P,P010,87.33333333333333,1.911342399533103,1.866692635611371,True
P,P005,88.16666666666667,2.047360866337537,1.9991213957491971,True
P,P0025,87.5,1.9343991715965458,1.8865008507528154,True
