stage,run_id,axis,ratio_or_density,start_update,end_update,raw_top1_gain,ema_top1_gain,val_loss_reduction,train_compute_seconds,data_wait_seconds,train_system_seconds,forward_seconds,backward_seconds,optimizer_seconds,peak_memory_allocated,peak_memory_reserved,source_folder
early,FULL,full,1.0,834,1034,0.8333333333333286,-0.3333333333333286,0.09773590087890627,13.931970109813847,1.2466736793285236,15.17864378914237,3.942253362655639,6.842981716156008,2.1322009935379027,4926599680,5509218304,/home/pc/data/PEFT-method/STPFT/result/a1_complete_a2_cub_seed42_20260909_1912/03_a1_stage/probes/early/FULL
early,FULL,full,1.0,834,1034,0.8333333333333286,-0.3333333333333286,0.09773590087890627,13.931970109813847,1.2466736793285236,15.17864378914237,3.942253362655639,6.842981716156008,2.1322009935379027,4926599680,5509218304,/home/pc/data/PEFT-method/STPFT/result/a1_complete_a2_cub_seed42_20260909_1912/03_a1_stage/probes/early/FULL
early,T040,T,0.4,834,1034,0.6666666666666572,-0.3333333333333286,-0.014047907193501796,13.701149523607455,1.1116308991331607,14.812780422740616,3.8806434507369993,6.700025545120241,2.049148443222047,3471575552,4047503360,/home/pc/data/PEFT-method/STPFT/result/a1_complete_a2_cub_seed42_20260909_1912/03_a1_stage/probes/early/T040
early,FULL,full,1.0,834,1034,0.8333333333333286,-0.3333333333333286,0.09773590087890627,13.931970109813847,1.2466736793285236,15.17864378914237,3.942253362655639,6.842981716156008,2.1322009935379027,4926599680,5509218304,/home/pc/data/PEFT-method/STPFT/result/a1_complete_a2_cub_seed42_20260909_1912/03_a1_stage/probes/early/FULL
early,P020,P,0.02,834,1034,3.3333333333333286,-0.1666666666666714,0.13814086755116783,26.738272730610333,0.9729121858254075,27.71118491643574,3.4346574115753175,7.445383621215819,15.032744003295898,4365629440,4880072704,/home/pc/data/PEFT-method/STPFT/result/a1_complete_a2_cub_seed42_20260909_1912/03_a1_stage/probes/early/P020
early,P005,P,0.005,834,1034,4.5,-0.3333333333333286,0.13560568491617842,25.243227028520778,0.9871779896784574,26.230405018199235,3.396952547073364,7.073183002471923,13.82345471954347,4273349632,4777312256,/home/pc/data/PEFT-method/STPFT/result/a1_complete_a2_cub_seed42_20260909_1912/03_a1_stage/probes/early/P005
early,P0025,P,0.0025,834,1034,4.666666666666657,-0.1666666666666714,0.14605957190195717,27.201836315682158,0.9731448356760666,28.174981151358224,3.439413671493529,8.171802383422854,14.76605101394653,4257943552,4760535040,/home/pc/data/PEFT-method/STPFT/result/a1_complete_a2_cub_seed42_20260909_1912/03_a1_stage/probes/early/P0025
middle,FULL,full,1.0,2514,2714,-0.1666666666666714,0.8333333333333286,-0.05217363198598235,13.658797440351918,0.9663119085598737,14.625109348911792,3.8543876838684072,6.771923503875732,2.0882894401550285,4926599680,5509218304,/home/pc/data/PEFT-method/STPFT/result/a1_complete_a2_cub_seed42_20260909_1912/03_a1_stage/probes/middle/FULL
middle,S075,S,0.75,2514,2714,0.3333333333333286,1.0,-0.05208299001057948,16.908213581540622,0.9330149916931987,17.84122857323382,2.965821574211119,6.800172897338867,1.662946499824525,4132118528,4483710976,/home/pc/data/PEFT-method/STPFT/result/a1_complete_a2_cub_seed42_20260909_1912/03_a1_stage/probes/middle/S075
middle,FULL,full,1.0,2514,2714,-0.1666666666666714,0.8333333333333286,-0.05217363198598235,13.658797440351918,0.9663119085598737,14.625109348911792,3.8543876838684072,6.771923503875732,2.0882894401550285,4926599680,5509218304,/home/pc/data/PEFT-method/STPFT/result/a1_complete_a2_cub_seed42_20260909_1912/03_a1_stage/probes/middle/FULL
middle,FULL,full,1.0,2514,2714,-0.1666666666666714,0.8333333333333286,-0.05217363198598235,13.658797440351918,0.9663119085598737,14.625109348911792,3.8543876838684072,6.771923503875732,2.0882894401550285,4926599680,5509218304,/home/pc/data/PEFT-method/STPFT/result/a1_complete_a2_cub_seed42_20260909_1912/03_a1_stage/probes/middle/FULL
middle,P020,P,0.02,2514,2714,1.1666666666666572,1.3333333333333286,-0.033509446779886876,26.324514581472613,1.213051559170708,27.53756614064332,3.4046536064147923,7.492310461044312,14.571805076599126,4324524032,4838129664,/home/pc/data/PEFT-method/STPFT/result/a1_complete_a2_cub_seed42_20260909_1912/03_a1_stage/probes/middle/P020
late,FULL,full,1.0,4194,4394,0.8333333333333286,0.8333333333333286,-0.004330059687296495,13.807254833402112,0.8298449619906023,14.637099795392714,3.9583616161346433,6.7561497459411655,2.127239337921142,4926599680,5509218304,/home/pc/data/PEFT-method/STPFT/result/a1_complete_a2_cub_seed42_20260909_1912/03_a1_stage/probes/late/FULL
late,S050,S,0.5,4194,4394,0.6666666666666714,0.6666666666666572,0.012175496419270848,17.427676893072203,0.9212527817580849,18.348929674830288,3.0478865947723377,7.315007484436033,1.6958581800460806,3301537280,3661627392,/home/pc/data/PEFT-method/STPFT/result/a1_complete_a2_cub_seed42_20260909_1912/03_a1_stage/probes/late/S050
late,FULL,full,1.0,4194,4394,0.8333333333333286,0.8333333333333286,-0.004330059687296495,13.807254833402112,0.8298449619906023,14.637099795392714,3.9583616161346433,6.7561497459411655,2.127239337921142,4926599680,5509218304,/home/pc/data/PEFT-method/STPFT/result/a1_complete_a2_cub_seed42_20260909_1912/03_a1_stage/probes/late/FULL
late,T040,T,0.4,4194,4394,-0.3333333333333286,0.3333333333333286,-0.02295352617899571,13.625291835167445,1.0280156054068357,14.653307440574281,3.9358252449035667,6.627901004791255,2.074726395130158,3471575552,4047503360,/home/pc/data/PEFT-method/STPFT/result/a1_complete_a2_cub_seed42_20260909_1912/03_a1_stage/probes/late/T040
late,FULL,full,1.0,4194,4394,0.8333333333333286,0.8333333333333286,-0.004330059687296495,13.807254833402112,0.8298449619906023,14.637099795392714,3.9583616161346433,6.7561497459411655,2.127239337921142,4926599680,5509218304,/home/pc/data/PEFT-method/STPFT/result/a1_complete_a2_cub_seed42_20260909_1912/03_a1_stage/probes/late/FULL
