run_id,sample_ratio,token_ratio,p_density,s_active,t_active,p_active,genuine_stp
FULL,1.0,1.0,1.0,False,False,False,False
S075,0.75,1.0,1.0,True,False,False,False
S050,0.5,1.0,1.0,True,False,False,False
S025,0.25,1.0,1.0,True,False,False,False
T070,1.0,0.7,1.0,False,True,False,False
T040,1.0,0.4,1.0,False,True,False,False
P020,1.0,1.0,0.02,False,False,True,False
P005,1.0,1.0,0.005,False,False,True,False
P0025,1.0,1.0,0.0025,False,False,True,False
SP_075_P020,0.75,1,0.02,True,False,True,False
SP_075_P005,0.75,1,0.005,True,False,True,False
SP_050_P020,0.5,1,0.02,True,False,True,False
SP_050_P005,0.5,1,0.005,True,False,True,False
TP_070_P020,1,0.7,0.02,False,True,True,False
TP_070_P005,1,0.7,0.005,False,True,True,False
TP_040_P020,1,0.4,0.02,False,True,True,False
TP_040_P005,1,0.4,0.005,False,True,True,False
P010,1,1,0.01,False,False,True,False
SP_075_P010,0.75,1,0.01,True,False,True,False
TP_070_P010,1,0.7,0.01,False,True,True,False
ST_075_070,0.75,0.7,1,True,True,False,False
ST_075_040,0.75,0.4,1,True,True,False,False
ST_050_070,0.5,0.7,1,True,True,False,False
ST_050_040,0.5,0.4,1,True,True,False,False
STP_075_070_P020,0.75,0.7,0.02,True,True,True,True
STP_075_070_P010,0.75,0.7,0.01,True,True,True,True
STP_075_070_P005,0.75,0.7,0.005,True,True,True,True
STP_050_070_P020,0.5,0.7,0.02,True,True,True,True
STP_050_070_P010,0.5,0.7,0.01,True,True,True,True
STP_050_070_P005,0.5,0.7,0.005,True,True,True,True
