run_id,sample_ratio,token_ratio,p_density,genuine_stp,raw_val_loss_reduction,raw_top1_gain,ema_top1_gain,calibrated_compute_cost,calibrated_system_cost
FULL,1.0,1.0,1.0,False,-0.05217363198598235,-0.1666666666666714,0.8333333333333286,434.0009316834039,453.48426542390376
S075,0.75,1.0,1.0,False,-0.05208299001057948,0.3333333333333286,1.0,437.1128339279676,456.5612148062792
S050,0.5,1.0,1.0,False,-0.11431876023610432,0.8333333333333286,0.8333333333333286,437.4759243780863,456.6749852406792
S025,0.25,1.0,1.0,False,-0.1056769355138143,-1.5,0.6666666666666572,439.46218864119146,459.18598435120657
T070,1.0,0.7,1.0,False,-0.08544074535369872,0.0,1.1666666666666572,434.3825046304846,453.75901559193153
T040,1.0,0.4,1.0,False,-0.11756178696950281,-1.6666666666666714,-0.6666666666666714,434.70616394479293,453.9446539754863
P020,1.0,1.0,0.02,False,-0.033509446779886876,1.1666666666666572,1.3333333333333286,448.80329646577593,468.670679035713
P005,1.0,1.0,0.005,False,-0.045238102277119996,1.6666666666666572,1.1666666666666572,445.7169479652658,465.20786483277334
P0025,1.0,1.0,0.0025,False,-0.03701528708140056,1.8333333333333286,1.1666666666666572,444.6637482996448,463.69762197573436
SP_075_P020,0.75,1.0,0.02,False,-0.03612538814544686,1.3333333333333286,0.6666666666666572,450.14404661167646,469.90891416935483
SP_075_P005,0.75,1.0,0.005,False,-0.05021183808644614,1.8333333333333286,1.1666666666666572,449.51535451662494,468.9378630777355
SP_050_P020,0.5,1.0,0.02,False,-0.0578354215621949,1.0,0.6666666666666572,450.6470503428136,470.5285001065931
SP_050_P005,0.5,1.0,0.005,False,-0.08801564693450936,1.8333333333333286,1.5,450.09198891813867,469.6534956706455
TP_070_P020,1.0,0.7,0.02,False,-0.06498565514882415,1.1666666666666572,0.3333333333333286,447.6506328466348,467.34070154168876
TP_070_P005,1.0,0.7,0.005,False,-0.06423008759816495,1.1666666666666572,1.6666666666666572,449.16022954537766,468.93404925125657
TP_040_P020,1.0,0.4,0.02,False,-0.1018875900904338,0.3333333333333286,0.3333333333333286,446.35743534192443,465.997525739076
TP_040_P005,1.0,0.4,0.005,False,-0.09621219793955493,0.6666666666666572,0.0,445.8657186679193,465.9250274614896
P010,1.0,1.0,0.01,False,-0.0501267957687378,1.8333333333333286,1.3333333333333286,446.4475567667978,465.56181953201303
SP_075_P010,0.75,1.0,0.01,False,-0.055743177731831905,2.166666666666657,0.6666666666666572,449.92174783867085,469.63438567850966
TP_070_P010,1.0,0.7,0.01,False,-0.07138830661773687,1.1666666666666572,0.8333333333333286,446.0861290010508,465.7289055330329
ST_075_070,0.75,0.7,1.0,False,-0.06633344491322835,0.3333333333333286,0.6666666666666572,439.06262320204405,458.29027216066606
ST_075_040,0.75,0.4,1.0,False,-0.1102206627527873,-0.6666666666666714,0.0,437.4882985808654,456.6301388572901
ST_050_070,0.5,0.7,1.0,False,-0.0698960065841675,0.0,0.5,437.6674646389437,456.7448518850142
ST_050_040,0.5,0.4,1.0,False,-0.10406050841013592,-0.1666666666666714,-0.6666666666666714,437.1100290780305,456.28770637267735
